id;name;description
be34c3cd-a45b-4eec-a43d-f17e5e6effac;below ew natural;while hopeful shy
6713e382-3b22-403b-bd7b-51f8208c17f5;reassuringly;certify
8da5a94f-d2ff-4838-b106-55f6fc093deb;delectable;ah
1678c3b2-c535-4c5c-a1b6-77b5531ed5f8;minor;regarding
449e6023-5df3-4d87-a7a8-93a918141142;unless;import or
3e0585f4-6ea2-47aa-b873-134793c217f1;chapel crystallize likewise;except anenst scram
797c1ec1-4764-4a9a-a327-f79d3b1a9654;outflank typewriter hourly;because heavily
89fc3440-77f2-4976-9067-ba3feb4f4960;realistic before;repeat jovially instead
016e1fae-2596-4b2a-b35d-aacad07c2965;swear;comestible
1fb152f9-7262-4eb8-88a4-6bb1c8c61eef;gratefully;busily amongst
