id;name;description
e8fd689d-95ce-44c1-98c5-e982d7d57467;hourly sharply;scout
16368cf9-b0e7-42b7-91ec-d2b74ba84b35;below cheerfully truthfully;inasmuch upbeat zesty
6faee503-3008-467c-90c2-3ec91460e9b4;condense;instead
2dfa28c1-b4b9-4c80-83a0-899222487559;probate;ravioli defiantly
223e927e-dba5-4cde-8a5c-3b1f4360b204;which;finally fooey
6035dae7-4ee5-464b-9c60-a8dab90dcf30;overfeed amongst simple;scram gah
590bc2af-6e9b-447d-8778-7515ad0568b1;eek;worthwhile
bd230a24-9781-46d7-9407-41f452af6783;lazily;partial chiffonier
8d21f24c-85a8-44d3-a32b-e03f61de5a0f;chap after until;illustrious ah modulo
d756959c-fb7b-4d15-b9ec-a601d6099753;concerning at except;cauliflower dishearten wearily
