id;name;description
fd75fd4b-9afe-43f0-873d-115b154cd27c;pocket-watch pfft fooey;institute nicely mmm
85c88592-5c9a-41aa-97b4-ba883e83a175;rebuild beside quintessential;psst
487c8ce7-5a85-4bcf-8835-66349e94f510;whereas handover;crooked lost
060e0785-cd94-4892-abc0-0d2b75802e57;vein through valuable;lest unlined militate
352b52ba-7fc7-494f-b172-ca63bb125d18;likely;fidget ring bleach
b0694ecc-4030-4a4a-91e6-3ea14e678f67;across ambitious;ferociously
c46e9069-599e-46c2-84be-5f9417fdfc70;sternly;out
b86fc272-ed72-4597-a855-a9a5a58734ad;indeed huzzah sand;aha absent suspiciously
bdb92cc3-befb-47d8-9b43-51e043c25de3;uh-huh;smoothly
76239fca-2c9a-476c-9922-8b2cf4c5a4e4;SUV sleepily whoever;pivot furiously
